smoke,flame,gas,label
399,928,788,0
355,949,790,0
328,953,790,0
310,941,789,0
295,941,789,0
284,797,779,0
272,854,784,0
262,851,784,0
255,845,782,0
248,839,781,0
241,833,780,0
233,828,780,0
228,822,780,0
224,817,779,0
219,811,778,0
212,806,777,0
208,801,776,0
203,796,777,0
200,791,777,0
197,787,776,0
193,782,776,0
189,776,775,0
187,771,773,0
182,766,774,0
180,762,773,0
177,758,773,0
175,753,772,0
174,749,771,0
171,744,772,0
169,740,769,0
167,735,771,0
164,730,769,0
161,726,769,0
161,721,769,0
160,717,768,0
158,713,767,0
156,708,767,0
153,705,766,0
151,701,767,0
150,697,767,0
147,694,766,0
146,689,766,0
146,686,764,0
144,682,764,0
144,679,764,0
142,675,763,0
141,671,763,0
141,669,763,0
137,665,763,0
137,663,762,0
135,661,763,0
135,659,762,0
135,656,761,0
133,654,761,0
131,652,761,0
130,651,760,0
130,649,760,0
130,648,760,0
129,648,760,0
128,648,761,0
127,649,760,0
126,649,761,0
126,651,760,0
125,653,760,0
125,655,760,0
124,658,761,0
123,660,761,0
122,662,761,0
121,664,761,0
120,666,761,0
120,666,761,0
120,667,761,0
119,667,761,0
119,667,761,0
118,665,760,0
117,663,760,0
117,661,760,0
116,658,760,0
115,655,758,0
114,652,758,0
114,650,757,0
114,647,758,0
113,644,757,0
112,642,756,0
112,639,757,0
112,635,756,0
112,632,756,0
111,628,757,0
110,624,755,0
110,619,753,0
109,614,753,0
108,608,753,0
108,603,753,0
108,598,752,0
107,593,752,0
107,589,751,0
106,584,750,0
106,581,749,0
104,577,749,0
104,574,750,0
104,572,749,0
104,570,749,0
105,568,749,0
104,564,748,0
104,563,748,0
104,561,747,0
103,557,747,0
103,555,747,0
101,551,746,0
101,548,746,0
101,545,746,0
101,543,746,0
100,541,746,0
100,538,746,0
99,537,746,0
99,534,746,0
99,532,746,0
98,530,746,0
98,528,745,0
98,524,745,0
97,522,744,0
97,519,743,0
97,515,744,0
96,512,744,0
97,509,744,0
96,505,743,0
95,501,742,0
96,498,742,0
95,494,742,0
95,491,740,0
95,488,741,0
94,485,740,0
93,482,741,0
94,479,740,0
94,476,741,0
93,473,740,0
92,470,740,0
93,467,740,0
92,464,738,0
92,462,739,0
92,459,739,0
91,457,739,0
92,455,738,0
91,453,738,0
91,451,737,0
90,449,737,0
90,448,737,0
91,446,738,0
91,445,738,0
90,443,738,0
89,442,737,0
89,440,737,0
89,438,737,0
89,436,735,0
88,434,736,0
89,433,736,0
88,431,736,0
88,429,735,0
87,427,735,0
87,425,735,0
87,424,735,0
87,422,735,0
87,420,734,0
86,418,734,0
86,416,733,0
86,413,734,0
86,411,735,0
86,409,734,0
86,408,734,0
86,407,734,0
85,405,734,0
85,403,733,0
85,400,732,0
85,398,732,0
85,396,732,0
84,394,731,0
84,392,731,0
83,390,731,0
83,388,730,0
83,385,731,0
83,383,730,0
82,381,731,0
83,378,730,0
82,376,730,0
82,374,730,0
82,372,730,0
82,370,730,0
82,367,729,0
81,365,729,0
81,363,729,0
82,361,728,0
82,359,728,0
82,356,727,0
82,354,728,0
82,352,727,0
81,350,729,0
81,348,728,0
81,346,728,0
81,344,727,0
81,341,727,0
81,339,727,0
80,337,726,0
80,335,726,0
79,332,726,0
79,330,725,0
78,328,724,0
79,326,724,0
78,324,724,0
79,322,723,0
78,320,723,0
78,318,724,0
78,316,724,0
79,314,724,0
79,312,724,0
78,310,723,0
78,308,724,0
77,306,723,0
77,304,723,0
77,301,723,0
77,300,723,0
77,298,722,0
76,296,722,0
77,294,722,0
76,292,721,0
76,290,721,0
75,288,721,0
76,286,722,0
77,284,722,0
76,282,722,0
75,280,723,0
75,278,722,0
76,276,721,0
75,275,720,0
75,273,721,0
75,272,720,0
76,271,721,0
75,269,720,0
74,267,719,0
75,265,719,0
75,263,720,0
75,262,720,0
75,260,719,0
75,258,719,0
74,257,719,0
75,255,718,0
74,253,720,0
74,251,719,0
73,249,719,0
74,248,719,0
74,246,719,0
74,245,718,0
74,243,718,0
73,241,719,0
73,239,717,0
73,238,719,0
73,236,718,0
73,234,718,0
73,233,717,0
74,231,718,0
73,229,718,0
73,228,716,0
73,226,717,0
72,224,716,0
72,223,717,0
73,221,716,0
73,219,717,0
72,218,716,0
72,216,716,0
72,214,716,0
71,213,716,0
72,211,716,0
71,209,716,0
71,208,715,0
71,206,715,0
71,204,715,0
70,203,715,0
71,201,714,0
71,200,716,0
71,198,714,0
71,196,715,0
71,195,714,0
71,194,714,0
71,192,714,0
71,190,715,0
71,189,715,0
71,188,715,0
71,186,714,0
71,185,714,0
71,183,715,0
71,182,714,0
71,180,714,0
70,179,713,0
70,177,714,0
70,176,714,0
70,175,713,0
70,174,714,0
70,172,713,0
70,171,713,0
69,169,713,0
70,169,713,0
69,167,713,0
69,165,713,0
70,165,712,0
69,164,712,0
69,163,713,0
69,162,711,0
69,161,712,0
69,160,711,0
69,158,713,0
68,158,713,0
68,157,713,0
68,156,713,0
68,155,712,0
68,154,712,0
68,153,712,0
68,153,712,0
68,152,712,0
66,152,712,0
67,152,712,0
67,151,712,0
67,154,712,0
67,158,714,0
66,174,714,1
66,185,715,1
66,209,717,1
66,199,716,1
66,310,727,1
67,334,729,1
67,389,736,1
67,375,734,1
67,364,732,1
69,595,758,1
68,306,727,1
68,410,738,1
67,304,725,1
68,316,727,1
67,247,721,1
66,378,733,1
66,409,737,1
66,332,727,1
67,405,737,1
66,257,721,1
67,461,742,1
67,264,722,1
67,349,730,1
66,309,726,1
66,390,734,1
66,254,721,1
67,259,721,1
67,267,722,1
67,266,721,1
67,240,720,1
66,246,720,1
67,266,721,1
67,225,719,1
66,244,721,1
67,353,730,1
67,247,720,1
66,280,723,1
65,258,720,1
64,301,725,1
65,368,731,1
65,269,721,1
65,275,722,1
65,258,720,1
65,268,722,1
65,302,725,1
65,267,722,1
64,257,721,1
65,272,721,1
65,213,717,1
65,307,726,1
65,287,723,1
65,289,723,1
66,243,719,1
65,222,718,1
65,216,717,1
65,203,716,1
65,250,720,1
65,216,718,1
65,227,717,1
65,247,720,1
64,213,717,1
64,213,716,1
64,237,718,1
64,225,718,1
64,224,718,1
64,212,715,1
64,218,717,1
64,222,717,1
64,240,718,1
64,219,717,1
64,224,716,1
64,273,722,1
65,199,715,1
64,193,714,1
64,236,718,1
64,192,715,1
63,190,715,1
64,206,716,1
63,219,717,1
64,221,717,1
64,194,714,1
63,195,716,1
63,209,716,1
63,215,717,1
63,181,715,1
63,184,714,1
62,215,717,1
62,191,715,1
63,189,716,1
63,177,713,1
62,212,716,1
62,234,718,1
62,213,717,1
62,184,714,1
63,275,722,1
63,219,718,1
63,192,714,1
62,213,717,1
62,257,720,1
62,602,756,0
62,897,782,0
62,881,782,0
63,491,745,0
62,335,733,1
63,305,734,1
64,434,741,1
65,547,754,1
65,545,753,1
65,648,764,1
65,495,747,1
66,513,750,1
65,674,767,1
66,435,741,1
66,465,745,1
67,472,745,1
68,492,747,1
68,555,755,1
68,432,740,1
69,411,738,1
68,474,745,1
69,402,737,1
69,398,736,1
68,445,743,1
67,407,738,1
67,266,724,1
67,311,727,1
66,280,725,1
67,271,723,1
67,278,724,1
67,247,721,1
68,262,720,1
68,290,723,1
68,252,720,1
69,245,719,1
68,253,718,1
69,255,716,1
69,264,711,1
68,225,716,1
68,245,722,1
67,212,719,1
66,223,720,1
66,235,720,1
66,202,717,1
66,220,718,1
65,218,720,1
64,233,720,1
64,201,718,1
64,189,718,1
63,195,718,1
63,185,718,1
63,228,720,1
63,226,720,1
63,202,719,1
63,206,719,1
63,172,716,1
63,164,715,1
64,176,715,1
64,173,714,1
66,161,711,1
66,157,711,1
66,153,703,1
66,162,699,1
66,185,701,1
65,156,706,1
65,156,709,1
65,164,710,1
65,144,709,1
66,139,705,1
65,146,694,1
65,167,699,1
66,151,710,1
65,138,711,1
65,138,712,1
66,125,710,1
65,127,712,1
65,146,713,1
66,120,712,1
66,114,711,1
65,114,710,1
65,117,711,1
65,100,711,1
64,99,708,1
63,100,712,1
63,104,713,1
63,108,713,1
63,100,710,1
63,101,711,1
64,96,711,1
64,90,711,1
64,91,711,1
64,93,711,1
64,85,711,1
64,86,711,1
64,84,710,1
64,104,711,1
64,96,711,1
63,84,711,1
64,83,711,1
65,76,712,1
64,69,712,1
64,69,712,1
63,76,712,1
63,76,714,1
63,69,714,1
62,63,712,1
63,59,713,1
62,65,712,1
63,69,713,1
63,79,713,1
63,77,713,1
63,61,713,1
63,54,711,1
63,57,712,1
62,68,713,1
61,102,711,1
61,58,714,1
61,388,742,1
60,391,742,1
60,389,742,1
60,371,741,1
59,326,735,1
60,301,733,1
59,350,738,1
60,287,732,1
60,254,729,1
60,251,729,1
60,262,729,1
60,248,729,1
60,264,730,1
60,246,728,1
60,222,727,1
61,210,725,1
61,294,732,1
61,249,729,1
61,254,728,1
60,196,723,1
60,267,730,1
61,233,726,1
61,208,725,1
61,200,724,1
60,262,730,1
60,372,740,1
59,330,736,1
60,208,725,1
59,203,724,1
59,235,727,1
59,275,731,1
59,242,727,1
60,185,724,1
60,195,723,1
60,236,727,1
60,220,726,1
60,142,720,1
60,152,722,1
60,133,719,1
60,119,720,1
60,117,719,1
60,140,720,1
60,145,720,1
60,122,719,1
60,118,719,1
60,117,719,1
59,114,719,1
60,109,718,1
60,95,718,1
60,140,720,1
60,196,724,1
60,120,719,1
60,99,718,1
61,171,722,1
61,179,723,1
61,169,722,1
61,130,720,1
60,214,726,1
61,300,734,1
61,200,724,1
61,231,727,1
61,111,719,1
60,90,718,1
60,88,717,1
60,93,718,1
59,116,719,1
60,84,717,1
60,97,718,1
60,104,719,1
59,78,717,1
59,83,717,1
59,118,719,1
59,83,718,1
60,60,717,1
60,61,717,1
59,72,716,1
59,80,717,1
60,72,716,1
60,83,717,1
59,87,717,1
59,51,716,1
60,132,719,1
60,75,717,1
60,61,716,1
60,69,716,1
61,106,718,1
60,946,794,1
61,59,716,1
61,78,717,1
61,53,716,1
62,56,716,1
62,70,716,1
63,57,716,1
64,44,715,1
64,46,715,1
66,66,716,1
65,52,716,1
65,47,715,1
65,48,715,1
65,105,717,1
64,131,719,1
64,46,714,1
64,48,715,1
65,49,715,1
65,61,715,1
65,68,716,1
65,155,722,1
65,44,715,1
64,68,717,1
65,81,718,1
65,64,716,1
64,77,717,1
63,67,717,1
62,66,716,1
62,40,715,1
62,40,716,1
63,51,716,1
63,51,716,1
61,90,717,1
62,60,716,1
62,59,716,1
61,70,717,1
61,59,716,1
61,54,716,1
61,58,717,1
61,77,717,1
61,61,716,1
61,99,719,1
60,53,716,1
61,53,716,1
60,91,718,1
60,122,719,1
60,75,717,1
60,63,716,1
61,76,717,1
60,77,716,1
60,76,717,1
60,54,716,1
60,47,716,1
59,62,717,1
59,52,716,1
59,56,716,1
59,68,716,1
58,60,716,1
59,52,716,1
59,51,716,1
59,56,716,1
59,46,715,1
59,64,716,1
59,57,715,1
59,56,716,1
59,57,716,1
59,52,716,1
58,48,715,1
58,52,715,1
57,41,715,1
58,57,715,1
57,37,715,1
57,38,714,1
58,47,715,1
57,61,716,1
57,51,716,1
57,42,715,1
56,50,716,1
56,42,714,1
56,46,715,1
56,32,714,1
56,46,714,1
55,48,715,1
56,40,715,1
56,34,715,1
56,33,714,1
56,35,714,1
56,32,714,1
56,31,715,1
56,24,714,1
56,25,714,1
56,30,715,1
56,26,715,1
56,25,714,1
57,28,715,1
56,27,714,1
56,18,715,1
55,20,714,1
56,19,713,1
56,18,714,1
55,22,714,1
56,19,715,1
56,23,715,1
56,14,714,1
56,20,713,1
56,16,714,1
56,17,714,1
56,16,714,1
56,23,714,1
55,17,714,1
55,18,714,1
56,16,714,1
55,14,714,1
56,19,715,1
56,13,714,1
56,14,714,1
56,12,714,1
57,12,714,1
56,13,714,1
56,10,714,1
55,17,715,1
56,15,714,1
56,12,714,1
56,10,714,1
56,17,714,1
56,11,715,1
56,29,715,1
56,17,714,1
56,22,715,1
55,18,715,1
55,14,714,1
56,11,715,1
56,17,715,1
56,12,715,1
56,16,714,1
56,12,715,1
56,12,714,1
56,9,714,1
56,12,713,1
56,12,714,1
56,13,714,1
55,13,715,1
55,12,714,1
55,11,714,1
55,9,715,1
55,9,714,1
55,10,714,1
55,10,713,1
56,18,714,1
55,9,715,1
55,10,715,1
54,9,714,1
54,8,714,1
55,14,714,1
54,14,714,1
54,17,715,1
55,20,715,1
55,14,714,1
54,16,715,1
55,11,714,1
54,14,715,1
55,13,714,1
54,16,714,1
55,22,715,1
55,23,715,1
