smoke,flame,gas,label
171,920,220,0
161,920,215,0
154,921,213,0
144,921,211,0
141,921,211,0
136,923,211,0
133,927,213,0
127,930,212,0
124,929,211,0
122,926,214,0
119,929,212,0
118,930,213,0
116,927,215,0
113,924,215,0
109,924,216,0
108,924,213,0
107,924,213,0
107,924,214,0
104,924,218,0
105,923,222,0
104,924,225,0
102,926,232,0
100,929,230,0
98,929,233,0
96,928,233,0
94,927,236,0
93,926,239,0
92,930,238,0
92,934,239,0
91,934,239,0
91,935,247,0
88,935,248,0
86,935,247,0
83,935,240,0
83,935,237,0
83,935,236,0
82,935,236,0
80,936,236,0
80,936,234,0
81,936,234,0
80,935,232,0
78,935,228,0
78,935,227,0
79,935,233,0
78,935,233,0
75,935,225,0
79,935,227,0
78,935,231,0
77,935,225,0
76,935,221,0
76,935,215,0
75,935,212,0
75,935,211,0
76,935,211,0
76,935,210,0
75,935,207,0
74,935,204,0
74,935,203,0
73,935,201,0
72,935,198,0
72,936,197,0
72,936,197,0
71,936,195,0
71,936,195,0
70,935,195,0
70,935,196,0
71,936,197,0
71,936,197,0
72,936,198,0
72,935,203,0
73,935,206,0
71,936,205,0
69,936,200,0
69,936,198,0
69,936,201,0
70,936,201,0
70,936,203,0
69,936,202,0
68,936,201,0
67,936,198,0
67,936,200,0
67,936,198,0
66,936,197,0
66,936,197,0
64,936,195,0
63,935,196,0
62,936,196,0
62,936,196,0
63,936,197,0
63,936,198,0
63,936,200,0
64,936,202,0
64,935,203,0
65,935,203,0
65,935,203,0
65,935,203,0
66,935,208,0
65,935,208,0
65,935,208,0
64,935,207,0
63,935,203,0
63,935,202,0
64,936,202,0
65,935,204,0
66,935,206,0
67,935,210,0
68,935,213,0
66,935,214,0
67,935,214,0
68,933,223,0
67,934,229,0
69,935,228,0
68,936,235,0
67,936,240,0
67,935,241,0
63,936,236,0
63,936,234,0
62,936,235,0
63,936,232,0
61,936,234,0
61,935,231,0
61,935,230,0
61,934,230,0
61,935,227,0
61,935,224,0
62,934,219,0
62,935,216,0
61,935,215,0
60,935,210,0
58,935,207,0
57,934,203,0
57,934,200,0
57,935,198,0
56,934,199,0
56,933,197,0
56,933,198,0
57,932,198,0
56,933,200,0
55,933,201,0
56,933,203,0
55,933,203,0
57,934,207,0
56,934,208,0
56,934,206,0
55,934,205,0
55,934,204,0
53,934,202,0
53,934,200,0
52,933,203,0
51,933,199,0
52,933,197,0
51,931,196,0
50,928,193,0
50,926,194,0
51,927,196,0
51,925,196,0
51,926,195,0
50,927,193,0
50,930,192,0
50,931,191,0
49,931,189,0
49,932,188,0
50,931,190,0
50,930,191,0
50,931,190,0
50,931,192,0
50,930,192,0
50,930,192,0
50,931,195,0
49,932,193,0
50,934,195,0
50,934,195,0
50,934,195,0
51,934,194,0
50,934,194,0
50,933,195,0
50,932,195,0
50,931,194,0
50,931,194,0
50,933,194,0
50,933,195,0
51,933,198,0
51,932,199,0
50,933,202,0
52,933,203,0
52,933,206,0
51,933,204,0
50,932,201,0
50,931,198,0
51,931,197,0
50,931,194,0
51,931,193,0
51,933,195,0
51,934,194,0
50,933,192,0
50,930,190,0
49,931,188,0
47,933,188,0
47,931,186,0
47,932,185,0
45,933,186,0
44,934,185,0
44,934,185,0
46,934,185,0
46,934,186,0
45,934,188,0
46,934,188,0
48,934,189,0
48,934,190,0
48,934,188,0
49,934,190,0
50,934,191,0
49,934,192,0
48,934,189,0
48,934,189,0
48,934,187,0
48,934,187,0
49,934,186,0
49,934,186,0
52,932,186,0
53,934,189,0
53,934,193,0
54,934,196,0
51,934,199,0
51,934,194,0
52,934,193,0
51,934,194,0
51,934,195,0
50,934,195,0
51,934,195,0
51,934,194,0
51,933,192,0
54,934,194,0
56,934,196,0
57,934,196,0
57,934,194,0
58,933,192,0
59,934,193,0
59,934,192,0
58,934,190,0
57,934,188,0
58,933,188,0
58,930,189,0
57,930,190,0
56,931,189,0
55,933,187,0
56,933,189,0
58,934,192,0
59,934,192,0
58,934,191,0
57,934,191,0
56,933,191,0
56,934,190,0
56,933,188,0
56,934,190,0
57,934,189,0
56,934,186,0
56,933,186,0
55,934,184,0
56,934,184,0
56,934,187,0
56,934,187,0
55,933,187,0
55,934,185,0
54,934,185,0
54,934,186,0
53,934,187,0
53,934,185,0
54,934,186,0
54,934,186,0
55,933,189,0
54,934,190,0
54,934,190,0
53,934,190,0
52,934,187,0
51,934,186,0
50,934,186,0
50,934,186,0
50,934,185,0
50,934,185,0
51,934,187,0
51,934,187,0
51,934,187,0
50,934,185,0
51,934,185,0
51,934,186,0
51,934,187,0
52,934,188,0
52,934,190,0
52,934,191,0
52,934,193,0
56,934,192,0
59,934,190,0
61,934,190,0
64,934,192,0
63,934,192,0
63,934,191,0
65,934,193,0
66,934,196,0
64,934,197,0
61,934,195,0
63,934,192,0
61,934,192,0
61,934,193,0
59,934,192,0
63,934,190,0
66,934,190,0
63,934,188,0
62,933,190,0
62,929,189,0
63,931,190,0
62,933,190,0
60,933,191,0
60,933,188,0
59,933,187,0
59,933,189,0
59,933,188,0
58,933,189,0
58,933,189,0
60,933,189,0
60,933,188,0
61,934,190,0
61,933,190,0
60,933,192,0
59,933,191,0
58,933,191,0
58,934,194,0
58,934,194,0
57,933,194,0
56,933,194,0
54,934,191,0
52,934,189,0
53,934,190,0
51,934,191,0
51,933,191,0
50,934,190,0
51,934,191,0
52,934,191,0
53,933,191,0
52,933,190,0
51,934,192,0
52,934,193,0
52,934,193,0
52,933,193,0
53,934,194,0
53,934,194,0
53,933,196,0
53,933,197,0
54,933,197,0
54,934,197,0
55,933,197,0
55,933,197,0
55,933,200,0
56,933,199,0
56,934,200,0
56,934,199,0
56,933,202,0
56,934,201,0
55,933,200,0
55,933,202,0
53,934,202,0
52,933,199,0
51,934,201,0
50,933,202,0
48,933,200,0
47,933,201,0
47,933,200,0
47,933,199,0
48,934,202,0
47,933,203,0
47,933,202,0
48,934,203,0
50,933,204,0
49,933,205,0
51,933,205,0
50,933,204,0
50,934,204,0
49,933,203,0
49,933,204,0
48,933,205,0
47,933,205,0
47,933,206,0
48,933,208,0
48,933,209,0
48,933,208,0
47,933,210,0
46,933,208,0
45,933,209,0
45,933,210,0
45,933,211,0
44,933,213,0
44,933,210,0
44,933,209,0
43,933,210,0
43,933,212,0
43,933,212,0
43,933,213,0
42,933,210,0
43,933,212,0
42,933,212,0
42,933,212,0
42,933,212,0
41,933,212,0
42,933,215,0
42,933,215,0
42,933,211,0
42,933,212,0
43,933,214,0
46,933,212,0
48,933,215,0
48,933,216,0
50,933,220,0
50,933,220,0
49,933,213,0
49,933,211,0
49,933,211,0
49,933,215,0
48,933,215,0
48,933,212,0
46,933,213,0
45,933,212,0
44,933,215,0
44,933,215,0
43,933,215,0
42,933,215,0
42,932,216,0
42,933,215,0
41,933,217,0
40,933,216,0
40,932,217,0
41,932,222,0
42,931,225,0
41,929,228,0
40,927,226,0
39,925,224,0
39,924,223,0
39,925,221,0
38,926,219,0
39,929,217,0
38,929,215,0
38,928,215,0
36,926,215,0
36,923,212,0
36,922,212,0
35,923,210,0
35,923,210,0
35,923,209,0
34,923,207,0
34,923,207,0
35,923,206,0
34,925,208,0
33,927,207,0
34,930,203,0
33,931,204,0
34,931,203,0
35,928,207,0
35,930,210,0
34,932,213,0
35,933,216,0
35,933,217,0
34,933,219,0
33,933,217,0
33,933,212,0
33,933,214,0
33,933,213,0
33,932,215,0
33,933,215,0
32,933,214,0
32,933,214,0
32,933,211,0
33,932,213,0
32,930,213,0
33,926,214,0
34,924,219,0
33,925,221,0
33,929,222,0
33,931,223,0
33,932,222,0
33,932,225,0
33,933,219,0
32,934,221,0
32,934,221,0
31,934,221,0
31,934,221,0
31,934,219,0
31,935,219,0
30,935,216,0
30,935,215,0
29,934,213,0
29,935,214,0
29,935,212,0
29,935,210,0
29,935,209,0
29,934,212,0
30,934,212,0
31,934,213,0
30,935,216,0
30,935,216,0
30,935,220,0
30,934,218,0
29,934,217,0
29,934,216,0
29,934,217,0
29,934,218,0
30,934,217,0
29,933,219,0
29,932,219,0
29,932,218,0
29,931,221,0
29,931,222,0
29,931,221,0
28,932,221,0
29,931,219,0
28,933,218,0
