smoke,flame,gas,label
382,882,788,0
333,905,790,0
303,908,791,0
283,911,790,0
267,913,790,0
254,915,790,0
244,916,791,0
236,916,790,0
228,917,790,0
221,918,790,0
216,919,789,0
211,920,790,0
207,920,789,0
203,921,789,0
199,922,789,0
196,922,790,0
193,923,789,0
190,923,790,0
187,923,790,0
183,924,789,0
180,924,789,0
177,924,789,0
176,924,788,0
173,925,789,0
172,925,788,0
171,925,789,0
169,925,789,0
168,926,788,0
167,925,788,0
165,926,789,0
163,926,788,0
161,927,789,0
159,926,788,0
157,927,788,0
156,927,789,0
155,927,788,0
154,928,789,0
153,928,787,0
152,928,789,0
152,929,787,0
150,928,788,0
148,929,788,0
148,929,788,0
146,929,788,0
144,930,788,0
144,930,788,0
142,930,789,0
141,930,787,0
140,930,789,0
140,930,788,0
140,931,788,0
140,931,787,0
139,931,789,0
138,931,789,0
137,931,789,0
136,932,788,0
136,932,789,0
135,932,788,0
135,932,789,0
135,932,788,0
133,932,789,0
133,932,788,0
132,932,789,0
131,932,789,0
130,933,789,0
131,933,788,0
129,932,787,0
129,933,789,0
129,932,787,0
128,932,788,0
127,933,788,0
128,933,789,0
127,932,788,0
126,932,789,0
125,932,788,0
123,933,788,0
122,933,788,0
121,932,789,0
121,933,788,0
120,932,788,0
121,933,788,0
121,933,788,0
120,933,789,0
119,933,789,0
118,933,789,0
118,933,788,0
117,933,789,0
117,933,788,0
115,933,789,0
116,933,788,0
116,933,788,0
114,933,789,0
114,933,787,0
114,933,789,0
113,933,788,0
113,933,789,0
113,933,788,0
112,933,789,0
114,933,788,0
113,933,789,0
112,933,788,0
112,933,789,0
112,933,788,0
112,934,788,0
112,933,789,0
110,934,789,0
110,934,788,0
110,934,787,0
109,935,788,0
109,935,789,0
109,934,788,0
108,935,788,0
107,935,788,0
107,935,788,0
106,935,788,0
106,935,788,0
106,935,789,0
107,935,788,0
107,936,789,0
108,936,789,0
107,936,788,0
107,936,789,0
106,936,788,0
106,935,788,0
105,935,788,0
106,935,789,0
105,935,789,0
105,935,789,0
104,935,788,0
104,935,788,0
104,935,789,0
104,935,788,0
103,934,789,0
103,934,788,0
104,934,789,0
104,934,788,0
104,933,787,0
105,933,788,0
104,933,788,0
104,933,788,0
102,932,788,0
102,933,788,0
102,932,788,0
102,932,789,0
102,931,788,0
101,932,787,0
102,931,788,0
102,931,787,0
101,931,788,0
101,931,787,0
102,931,788,0
102,931,788,0
101,931,787,0
101,931,788,0
100,931,788,0
100,930,789,0
100,930,788,0
100,930,788,0
100,930,787,0
100,930,789,0
100,929,788,0
99,929,787,0
98,927,789,0
97,923,787,0
97,919,788,1
96,924,788,1
97,920,789,1
97,922,789,1
98,923,790,1
100,921,788,1
101,919,788,1
101,922,789,1
103,923,789,1
103,924,789,1
103,921,790,1
102,922,789,1
102,923,789,1
101,927,790,1
101,925,789,1
101,923,790,1
100,922,788,1
99,922,789,1
99,922,789,1
100,920,790,1
99,921,788,1
107,919,788,1
107,917,790,1
106,918,789,1
104,917,789,1
103,916,788,1
102,915,789,1
102,914,789,1
102,914,788,1
103,908,788,1
103,907,787,1
102,905,787,1
102,904,787,1
102,903,788,1
101,880,786,1
100,853,784,1
99,822,783,1
99,840,783,1
111,830,783,1
114,824,782,1
117,775,779,1
123,757,778,1
128,716,774,1
127,693,771,1
123,641,766,1
119,643,767,1
118,641,765,1
118,690,770,1
121,602,762,1
126,581,760,1
131,670,771,1
131,535,754,1
129,521,753,1
131,512,752,1
130,552,756,1
127,547,755,1
124,485,748,1
126,527,753,1
127,474,748,1
125,457,745,1
123,443,744,1
120,439,743,1
126,455,744,1
127,475,746,1
124,468,746,1
124,479,747,1
135,469,746,1
139,489,748,1
136,487,748,1
140,476,747,1
136,460,744,1
137,497,749,1
143,525,753,1
141,525,752,1
147,545,754,1
153,618,763,1
158,576,757,1
156,595,759,1
150,621,762,1
144,654,766,1
140,601,760,1
145,639,764,1
150,608,761,1
159,684,769,1
160,638,764,1
155,645,764,1
150,649,765,1
151,653,765,1
165,730,772,1
164,668,766,1
159,695,768,1
154,613,761,1
160,606,760,1
166,558,754,1
163,600,759,1
167,528,751,1
172,507,749,1
175,539,752,1
170,468,744,1
172,480,746,1
180,447,742,1
196,449,741,1
195,427,739,1
201,423,739,1
203,454,743,1
201,445,742,1
191,417,738,1
181,424,740,1
176,390,735,1
172,375,733,1
176,435,740,1
182,395,735,1
185,406,736,1
177,346,729,1
170,315,727,1
179,345,730,1
181,336,728,1
177,378,732,1
175,368,731,1
178,358,730,1
182,358,730,1
174,327,726,1
167,327,727,1
163,324,726,1
159,321,727,1
156,345,729,1
154,314,725,1
150,329,726,1
146,328,726,1
152,324,725,1
168,360,730,1
170,352,729,1
166,332,727,1
159,323,725,1
154,364,729,1
149,331,726,1
146,336,727,1
147,309,724,1
163,310,725,1
162,318,725,1
157,311,725,1
151,316,726,1
147,330,726,1
143,309,724,1
144,310,725,1
148,304,724,1
161,318,725,1
161,334,727,1
163,344,727,1
177,336,727,1
182,345,729,1
181,345,728,1
179,337,728,1
180,351,729,1
182,366,730,1
181,355,729,1
188,358,729,1
191,355,728,1
183,351,728,1
180,373,730,1
177,355,728,1
189,362,730,1
186,378,731,1
183,367,730,1
180,370,730,1
173,393,732,1
169,386,732,1
167,383,732,1
186,385,732,1
193,382,731,1
183,378,731,1
194,367,730,1
192,389,732,1
188,389,732,1
182,400,733,1
177,389,732,1
175,397,732,1
175,409,734,1
171,425,736,1
166,407,734,1
164,414,735,1
158,416,734,1
154,423,734,1
150,426,735,1
146,417,734,1
143,421,734,1
154,432,736,1
154,449,738,1
150,433,736,1
145,445,737,1
143,440,736,1
142,446,737,1
145,443,738,1
152,451,739,1
168,452,737,1
180,457,739,1
198,470,741,1
216,482,741,1
224,489,743,1
225,502,744,1
217,512,746,1
214,524,747,1
206,537,749,1
217,551,748,1
224,561,750,1
232,567,751,1
221,589,753,1
206,597,754,1
197,607,755,1
191,612,755,1
198,621,756,1
214,636,760,1
222,649,760,1
237,655,760,1
227,663,762,1
216,678,761,1
219,688,764,1
235,696,764,1
261,703,766,1
238,711,765,1
228,715,765,1
220,722,766,1
209,727,768,1
200,728,768,1
188,730,768,1
178,731,767,1
171,732,767,1
170,734,767,1
172,734,767,1
170,730,768,1
169,723,767,1
185,719,766,1
231,714,766,1
255,706,764,1
